i-0afbb188b59291364	 + curl -sf -m 4 http://localhost:8000/spec_stats
[ 1291.426480] cloud-init[1385]: ============================================================
[ 1291.426528] cloud-init[1385]:   Loading tokenizer...
[ 1306.666116] cloud-init[1385]: /opt/pytorch/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
[ 1306.670224] cloud-init[1385]:   import pynvml  # type: ignore[import]
[ 1313.888689] cloud-init[1385]:   Loading WildChat prompts...
[ 1314.864453] cloud-init[1385]:   Loaded 40 candidate prompts
[ 1314.864740] cloud-init[1385]:   Preparing 8 requests...
[ 1315.309316] cloud-init[1385]:   Input lengths:  min=558, max=985, mean=809
[ 1315.309488] cloud-init[1385]:   Output lengths: min=139, max=220, mean=170
[ 1315.337046] cloud-init[1385]:   Running concurrency=1 (8 requests, closed-loop)...
[ 1329.965055] cloud-init[1385]:     [  1/8] ok in=885 out=216 ttft=365ms compl=14627ms (elapsed 14.6s)
[ 1338.328734] cloud-init[1385]:     [  2/8] ok in=788 out=139 ttft=347ms compl=8364ms (elapsed 23.0s)
[ 1348.809702] cloud-init[1385]:     [  3/8] ok in=985 out=159 ttft=116ms compl=10481ms (elapsed 33.5s)
[ 1357.622712] cloud-init[1385]:     [  4/8] ok in=908 out=148 ttft=397ms compl=8813ms (elapsed 42.3s)
[ 1368.254885] cloud-init[1385]:     [  5/8] ok in=815 out=176 ttft=352ms compl=10632ms (elapsed 52.9s)
[ 1375.372686] cloud-init[1385]:     [  6/8] ok in=715 out=96 ttft=324ms compl=7118ms (elapsed 60.0s)
[ 1389.219774] cloud-init[1385]:     [  7/8] ok in=558 out=186 ttft=301ms compl=13847ms (elapsed 73.9s)
[ 1397.465571] cloud-init[1385]:     [  8/8] ok in=815 out=148 ttft=360ms compl=8246ms (elapsed 82.1s)
[ 1397.533879] cloud-init[1385]:   conc=1      TTFT p50=    349ms  p99=    395ms  Compl p50=   9647ms  p99=  14573ms  GenTok/s=     15  ok=8
[ 1397.593843] cloud-init[1385]: ====================================================================================================
[ 1397.593952] cloud-init[1385]:   Conc   TTFT_p50   TTFT_p99  Compl_p50  Compl_p99   TPOT_p50   TPOT_p99   GenTok/s    OK
[ 1397.594057] cloud-init[1385]:         (ms)       (ms)        (ms)        (ms)        (ms)        (ms)
[ 1397.594225] cloud-init[1385]: ----------------------------------------------------------------------------------------------------
[ 1397.594584] cloud-init[1385]:      1        349        395       9647      14573       62.2       73.1         15     8
[ 1397.594762] cloud-init[1385]: ====================================================================================================
[ 1398.421203] cloud-init[1385]: + echo '===== /spec_stats final ====='
[ 1398.421473] cloud-init[1385]: ===== /spec_stats final =====
[ 1398.421625] cloud-init[1385]: + curl -s http://localhost:8000/spec_stats
[ 1398.433633] cloud-init[1385]: {"enabled":true,"k":3,"target_forwards":529,"draft_forwards":1755,"accepted_tokens":783,"bonus_tokens":529,"proposed_tokens":1587,"generated_tokens":1312,"mean_accept_length":2.4801512287334595,"target_forwards_per_token":0.4032012195121951,"acceptance_rate":0.4933837429111531}++ grep -E '^\s+1\s+[0-9]' /tmp/spec_k3_aws.log
[ 1398.433792] cloud-init[1385]: ++ tail -1
[ 1398.435943] cloud-init[1385]: ++ awk '{print $6}'
[ 1398.441995] cloud-init[1385]: + SPEC_TPOT=62.2
[ 1398.442864] cloud-init[1385]: ++ curl -s http://localhost:8000/spec_stats
[ 1398.442947] cloud-init[1385]: ++ python3 -c 'import json,sys; print(json.load(sys.stdin)['\''mean_accept_length'\''])'
[ 1398.483860] cloud-init[1385]: + SPEC_ACCEPT=2.4801512287334595
[ 1398.483969] cloud-init[1385]: + echo SPEC_TPOT_P50=62.2
[ 1398.484049] cloud-init[1385]: SPEC_TPOT_P50=62.2
[ 1398.484098] cloud-init[1385]: + echo SPEC_ACCEPT_LEN=2.4801512287334595
[ 1398.484143] cloud-init[1385]: SPEC_ACCEPT_LEN=2.4801512287334595
[ 1398.484205] cloud-init[1385]: + kill -9 1508
[ 1398.485554] cloud-init[1385]: + sleep 5
[ 1403.486608] cloud-init[1385]: bash: line 76:  1508 Killed                  nohup python3 -m miniengine --model Qwen/Qwen3-8B --mode paged --mem-fraction-static 0.93 --page-size 32 --prefill-chunk-size 512 --speculative-draft-model Qwen/Qwen3-0.6B --speculative-num-draft-tokens 3 --port 8000 > /tmp/srv_k3.log 2>&1
[ 1403.489895] cloud-init[1385]: + NOSPEC_PID=2418
[ 1403.489960] cloud-init[1385]: + nohup python3 -m miniengine --model Qwen/Qwen3-8B --mode paged --mem-fraction-static 0.93 --page-size 32 --prefill-chunk-size 512 --port 8000
[ 1403.491400] cloud-init[1385]: + for i in {1..150}
[ 1403.492220] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1403.496734] cloud-init[1385]: + sleep 10
[ 1413.499070] cloud-init[1385]: + for i in {1..150}
[ 1413.504683] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1413.506491] cloud-init[1385]: + sleep 10
[ 1423.508684] cloud-init[1385]: + for i in {1..150}
[ 1423.508953] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1423.517400] cloud-init[1385]: + sleep 10
[ 1433.520383] cloud-init[1385]: + for i in {1..150}
[ 1433.520593] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1433.527824] cloud-init[1385]: + sleep 10
[ 1443.530193] cloud-init[1385]: + for i in {1..150}
[ 1443.530356] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1443.537635] cloud-init[1385]: + sleep 10
[ 1453.539669] cloud-init[1385]: + for i in {1..150}
[ 1453.539838] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1453.548237] cloud-init[1385]: + sleep 10
[ 1463.550262] cloud-init[1385]: + for i in {1..150}
[ 1463.550597] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1463.558966] cloud-init[1385]: + sleep 10
[ 1473.561642] cloud-init[1385]: + for i in {1..150}
[ 1473.561838] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1473.570139] cloud-init[1385]: + sleep 10
[ 1483.573159] cloud-init[1385]: + for i in {1..150}
[ 1483.573326] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1483.581771] cloud-init[1385]: + sleep 10
[ 1493.584530] cloud-init[1385]: + for i in {1..150}
[ 1493.584783] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1493.593435] cloud-init[1385]: + sleep 10
[ 1503.596348] cloud-init[1385]: + for i in {1..150}
[ 1503.596660] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1503.604909] cloud-init[1385]: + sleep 10
[ 1513.607669] cloud-init[1385]: + for i in {1..150}
[ 1513.608969] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1513.616297] cloud-init[1385]: + sleep 10
[ 1523.619024] cloud-init[1385]: + for i in {1..150}
[ 1523.619253] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1523.627600] cloud-init[1385]: + sleep 10
[ 1533.630303] cloud-init[1385]: + for i in {1..150}
[ 1533.630466] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1533.639054] cloud-init[1385]: + sleep 10
[ 1543.641605] cloud-init[1385]: + for i in {1..150}
[ 1543.641915] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1543.648829] cloud-init[1385]: + sleep 10
[ 1553.651631] cloud-init[1385]: + for i in {1..150}
[ 1553.651946] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1553.660258] cloud-init[1385]: + sleep 10
[ 1563.663029] cloud-init[1385]: + for i in {1..150}
[ 1563.663234] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1563.671714] cloud-init[1385]: + sleep 10
[ 1573.674490] cloud-init[1385]: + for i in {1..150}
[ 1573.674658] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1573.683681] cloud-init[1385]: + sleep 10
[ 1583.686264] cloud-init[1385]: + for i in {1..150}
[ 1583.690667] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1583.796566] cloud-init[1385]: + sleep 10
[ 1593.798616] cloud-init[1385]: + for i in {1..150}
[ 1593.798890] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1593.807334] cloud-init[1385]: + sleep 10
[ 1603.809754] cloud-init[1385]: + for i in {1..150}
[ 1603.810095] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1603.818345] cloud-init[1385]: + sleep 10
[ 1613.820730] cloud-init[1385]: + for i in {1..150}
[ 1613.820941] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1613.828235] cloud-init[1385]: + sleep 10
[ 1623.830611] cloud-init[1385]: + for i in {1..150}
[ 1623.830918] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1623.837997] cloud-init[1385]: + sleep 10
[ 1633.841128] cloud-init[1385]: + for i in {1..150}
[ 1633.841674] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1633.848934] cloud-init[1385]: + sleep 10
[ 1643.851459] cloud-init[1385]: + for i in {1..150}
[ 1643.851796] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1643.860855] cloud-init[1385]: + sleep 10
[ 1653.864089] cloud-init[1385]: + for i in {1..150}
[ 1653.864330] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1653.890872] cloud-init[1385]: + sleep 10
[ 1663.893408] cloud-init[1385]: + for i in {1..150}
[ 1663.893728] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1663.927626] cloud-init[1385]: + sleep 10
[ 1673.930452] cloud-init[1385]: + for i in {1..150}
[ 1673.931146] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1673.939135] cloud-init[1385]: + sleep 10
[ 1683.941583] cloud-init[1385]: + for i in {1..150}
[ 1683.941850] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1683.950252] cloud-init[1385]: + sleep 10
[ 1693.953197] cloud-init[1385]: + for i in {1..150}
[ 1693.953479] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1693.961753] cloud-init[1385]: + sleep 10
[ 1703.964298] cloud-init[1385]: + for i in {1..150}
[ 1703.964623] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1703.972951] cloud-init[1385]: + sleep 10
[ 1713.975125] cloud-init[1385]: + for i in {1..150}
[ 1713.975402] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1713.985701] cloud-init[1385]: + sleep 10
[ 1723.988119] cloud-init[1385]: + for i in {1..150}
[ 1723.988298] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1723.996822] cloud-init[1385]: + sleep 10
[ 1733.999787] cloud-init[1385]: + for i in {1..150}
[ 1734.000067] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1734.008440] cloud-init[1385]: + sleep 10
[ 1744.011506] cloud-init[1385]: + for i in {1..150}
[ 1744.011662] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1744.020143] cloud-init[1385]: + sleep 10
[ 1754.022658] cloud-init[1385]: + for i in {1..150}
[ 1754.022921] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1754.031255] cloud-init[1385]: + sleep 10
[ 1764.033687] cloud-init[1385]: + for i in {1..150}
[ 1764.033993] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1764.042350] cloud-init[1385]: + sleep 10
[ 1774.044965] cloud-init[1385]: + for i in {1..150}
[ 1774.045254] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1774.053346] cloud-init[1385]: + sleep 10
[ 1784.055580] cloud-init[1385]: + for i in {1..150}
[ 1784.055749] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/cache_stats
[ 1784.067031] cloud-init[1385]: + echo 'nospec server ready after 390s'
[ 1784.067929] cloud-init[1385]: nospec server ready after 390s
[ 1784.068644] cloud-init[1385]: + break
[ 1784.068838] cloud-init[1385]: + curl -s -m 200 -X POST http://localhost:8000/v1/chat/completions -H 'Content-Type: application/json' -d '{"model":"default","messages":[{"role":"user","content":"hi"}],"max_tokens":16}'
[ 1797.196214] cloud-init[1385]: + echo '===== non-spec baseline bench ====='
[ 1797.196998] cloud-init[1385]: ===== non-spec baseline bench =====
[ 1797.198057] cloud-init[1385]: + timeout 600 python3 -m benchmark.bench_serving --model Qwen/Qwen3-8B --base-url http://localhost:8000 --input-len 1024 --output-len 256 --concurrencies 1 --num-requests 8
[ 1797.199028] cloud-init[1385]: + tee /tmp/nospec_aws.log
[ 1797.807053] cloud-init[1385]: ============================================================
[ 1797.807891] cloud-init[1385]:   Serving Benchmark
[ 1797.808951] cloud-init[1385]:   Server       : http://localhost:8000
[ 1797.809077] cloud-init[1385]:   Model        : Qwen/Qwen3-8B
[ 1797.809293] cloud-init[1385]:   Load mode    : closed-loop
[ 1797.809473] cloud-init[1385]:   Requests     : 8 per level
[ 1797.810243] cloud-init[1385]:   Input len    : 1024
[ 1797.810428] cloud-init[1385]:   Output len   : 256
[ 1797.811134] cloud-init[1385]:   Randomness   : 0.5
[ 1797.811253] cloud-init[1385]:   Concurrencies: [1]
[ 1797.811314] cloud-init[1385]: ============================================================
[ 1797.811695] cloud-init[1385]:   Loading tokenizer...
[ 1805.930950] cloud-init[1385]: /opt/pytorch/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
[ 1805.931890] cloud-init[1385]:   import pynvml  # type: ignore[import]
[ 1812.856444] cloud-init[1385]:   Loading WildChat prompts...
[ 1813.783338] cloud-init[1385]:   Loaded 40 candidate prompts
[ 1813.784858] cloud-init[1385]:   Preparing 8 requests...
[ 1814.228048] cloud-init[1385]:   Input lengths:  min=558, max=985, mean=809
[ 1814.228725] cloud-init[1385]:   Output lengths: min=139, max=220, mean=170
[ 1814.254192] cloud-init[1385]:   Running concurrency=1 (8 requests, closed-loop)...
[ 1828.877805] cloud-init[1385]:     [  1/8] ok in=885 out=216 ttft=347ms compl=14623ms (elapsed 14.6s)
[ 1838.384908] cloud-init[1385]:     [  2/8] ok in=788 out=139 ttft=349ms compl=9507ms (elapsed 24.1s)
[ 1849.016300] cloud-init[1385]:     [  3/8] ok in=985 out=159 ttft=97ms compl=10631ms (elapsed 34.8s)
[ 1859.211341] cloud-init[1385]:     [  4/8] ok in=908 out=148 ttft=401ms compl=10195ms (elapsed 45.0s)
[ 1871.296606] cloud-init[1385]:     [  5/8] ok in=815 out=176 ttft=357ms compl=12085ms (elapsed 57.0s)
[ 1878.014105] cloud-init[1385]:     [  6/8] ok in=715 out=96 ttft=321ms compl=6717ms (elapsed 63.8s)
[ 1890.608837] cloud-init[1385]:     [  7/8] ok in=558 out=186 ttft=291ms compl=12595ms (elapsed 76.4s)
[ 1900.771563] cloud-init[1385]:     [  8/8] ok in=815 out=148 ttft=364ms compl=10163ms (elapsed 86.5s)
[ 1900.773038] cloud-init[1385]:   conc=1      TTFT p50=    348ms  p99=    398ms  Compl p50=  10413ms  p99=  14481ms  GenTok/s=     15  ok=8
[ 1900.790918] cloud-init[1385]: ====================================================================================================
[ 1900.792798] cloud-init[1385]:   Conc   TTFT_p50   TTFT_p99  Compl_p50  Compl_p99   TPOT_p50   TPOT_p99   GenTok/s    OK
[ 1900.794344] cloud-init[1385]:         (ms)       (ms)        (ms)        (ms)        (ms)        (ms)
[ 1900.794421] cloud-init[1385]: ----------------------------------------------------------------------------------------------------
[ 1900.795939] cloud-init[1385]:      1        348        398      10413      14481       66.6       67.3         15     8
[ 1900.796348] cloud-init[1385]: ====================================================================================================
[ 1902.554570] cloud-init[1385]: ++ grep -E '^\s+1\s+[0-9]' /tmp/nospec_aws.log
[ 1902.554775] cloud-init[1385]: ++ tail -1
[ 1902.555851] cloud-init[1385]: ++ awk '{print $6}'
[ 1902.566963] cloud-init[1385]: + NOSPEC_TPOT=66.6
[ 1902.567101] cloud-init[1385]: + echo NOSPEC_TPOT_P50=66.6
[ 1902.567361] cloud-init[1385]: NOSPEC_TPOT_P50=66.6
[ 1902.567585] cloud-init[1385]: + echo
[ 1902.567778] cloud-init[1385]: + echo =================================================================
[ 1902.567960] cloud-init[1385]: =================================================================
[ 1902.568366] cloud-init[1385]: + echo '                       BONUS (c) VERDICT'
[ 1902.568524] cloud-init[1385]:                        BONUS (c) VERDICT
[ 1902.568695] cloud-init[1385]: + echo =================================================================
[ 1902.568834] cloud-init[1385]: =================================================================
[ 1902.568872] cloud-init[1385]: + echo 'non-spec baseline TPOT p50 : 66.6 ms'
[ 1902.569294] cloud-init[1385]: non-spec baseline TPOT p50 : 66.6 ms
[ 1902.569467] cloud-init[1385]: + echo 'spec K=3 TPOT p50          : 62.2 ms'
[ 1902.569515] cloud-init[1385]: spec K=3 TPOT p50          : 62.2 ms
[ 1902.569717] cloud-init[1385]: + echo 'spec K=3 mean accept       : 2.4801512287334595'
[ 1902.569865] cloud-init[1385]: spec K=3 mean accept       : 2.4801512287334595
[ 1902.569924] cloud-init[1385]: + python3 -
[ 1902.603507] cloud-init[1385]: TPOT reduction             : +6.6%
[ 1902.603628] cloud-init[1385]: bonus (c) bar (-20%)       : 53.3 ms
[ 1902.603859] cloud-init[1385]: verdict                    : FAIL
[ 1902.609049] cloud-init[1385]: + echo =================================================================
[ 1902.610466] cloud-init[1385]: =================================================================
[ 1902.611745] cloud-init[1385]: + echo '===== FULL spec_k3 bench log ====='
[ 1902.612748] cloud-init[1385]: ===== FULL spec_k3 bench log =====
[ 1902.614427] cloud-init[1385]: + cat /tmp/spec_k3_aws.log
[ 1902.615270] cloud-init[1385]: ============================================================
[ 1902.616477] cloud-init[1385]:   Serving Benchmark
[ 1902.617206] cloud-init[1385]:   Server       : http://localhost:8000
[ 1902.618154] cloud-init[1385]:   Model        : Qwen/Qwen3-8B
[ 1902.618985] cloud-init[1385]:   Load mode    : closed-loop
[ 1902.619824] cloud-init[1385]:   Requests     : 8 per level
[ 1902.620655] cloud-init[1385]:   Input len    : 1024
[ 1902.621401] cloud-init[1385]:   Output len   : 256
[ 1902.622156] cloud-init[1385]:   Randomness   : 0.5
[ 1902.622912] cloud-init[1385]:   Concurrencies: [1]
[ 1902.623686] cloud-init[1385]: ============================================================
[ 1902.624903] cloud-init[1385]:   Loading tokenizer...
[ 1902.625687] cloud-init[1385]: /opt/pytorch/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
[ 1902.627065] cloud-init[1385]:   import pynvml  # type: ignore[import]
[ 1902.628104] cloud-init[1385]:   Loading WildChat prompts...
[ 1902.628166] cloud-init[1385]:   Loaded 40 candidate prompts
[ 1902.628224] cloud-init[1385]:   Preparing 8 requests...
[ 1902.628279] cloud-init[1385]:   Input lengths:  min=558, max=985, mean=809
[ 1902.628329] cloud-init[1385]:   Output lengths: min=139, max=220, mean=170
[ 1902.628381] cloud-init[1385]:   Running concurrency=1 (8 requests, closed-loop)...
[ 1902.628427] cloud-init[1385]:     [  1/8] ok in=885 out=216 ttft=365ms compl=14627ms (elapsed 14.6s)
[ 1902.630727] cloud-init[1385]:     [  2/8] ok in=788 out=139 ttft=347ms compl=8364ms (elapsed 23.0s)
[ 1902.631323] cloud-init[1385]:     [  3/8] ok in=985 out=159 ttft=116ms compl=10481ms (elapsed 33.5s)
[ 1902.633400] cloud-init[1385]:     [  4/8] ok in=908 out=148 ttft=397ms compl=8813ms (elapsed 42.3s)
[ 1902.633810] cloud-init[1385]:     [  5/8] ok in=815 out=176 ttft=352ms compl=10632ms (elapsed 52.9s)
[ 1902.634396] cloud-init[1385]:     [  6/8] ok in=715 out=96 ttft=324ms compl=7118ms (elapsed 60.0s)
[ 1902.634814] cloud-init[1385]:     [  7/8] ok in=558 out=186 ttft=301ms compl=13847ms (elapsed 73.9s)
[ 1902.635245] cloud-init[1385]:     [  8/8] ok in=815 out=148 ttft=360ms compl=8246ms (elapsed 82.1s)
[ 1902.635651] cloud-init[1385]:   conc=1      TTFT p50=    349ms  p99=    395ms  Compl p50=   9647ms  p99=  14573ms  GenTok/s=     15  ok=8
[ 1902.636086] cloud-init[1385]: ====================================================================================================
[ 1902.636474] cloud-init[1385]:   Conc   TTFT_p50   TTFT_p99  Compl_p50  Compl_p99   TPOT_p50   TPOT_p99   GenTok/s    OK
[ 1902.636870] cloud-init[1385]:         (ms)       (ms)        (ms)        (ms)        (ms)        (ms)
[ 1902.637289] cloud-init[1385]: ----------------------------------------------------------------------------------------------------
[ 1902.637704] cloud-init[1385]:      1        349        395       9647      14573       62.2       73.1         15     8
[ 1902.638139] cloud-init[1385]: ====================================================================================================
[ 1902.638547] cloud-init[1385]: + echo '===== FULL nospec bench log ====='
[ 1902.638956] cloud-init[1385]: ===== FULL nospec bench log =====
[ 1902.639777] cloud-init[1385]: + cat /tmp/nospec_aws.log
[ 1902.640195] cloud-init[1385]: ============================================================
[ 1902.640600] cloud-init[1385]:   Serving Benchmark
[ 1902.640996] cloud-init[1385]:   Server       : http://localhost:8000
[ 1902.641417] cloud-init[1385]:   Model        : Qwen/Qwen3-8B
[ 1902.641828] cloud-init[1385]:   Load mode    : closed-loop
[ 1902.642261] cloud-init[1385]:   Requests     : 8 per level
[ 1902.643066] cloud-init[1385]:   Input len    : 1024
[ 1902.643679] cloud-init[1385]:   Output len   : 256
[ 1902.644093] cloud-init[1385]:   Randomness   : 0.5
[ 1902.644507] cloud-init[1385]:   Concurrencies: [1]
[ 1902.644897] cloud-init[1385]: ============================================================
[ 1902.645327] cloud-init[1385]:   Loading tokenizer...
[ 1902.645707] cloud-init[1385]: /opt/pytorch/lib/python3.12/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
[ 1902.645752] cloud-init[1385]:   import pynvml  # type: ignore[import]
[ 1902.646167] cloud-init[1385]:   Loading WildChat prompts...
[ 1902.646571] cloud-init[1385]:   Loaded 40 candidate prompts
[ 1902.646952] cloud-init[1385]:   Preparing 8 requests...
[ 1902.647365] cloud-init[1385]:   Input lengths:  min=558, max=985, mean=809
[ 1902.648214] cloud-init[1385]:   Output lengths: min=139, max=220, mean=170
[ 1902.648633] cloud-init[1385]:   Running concurrency=1 (8 requests, closed-loop)...
[ 1902.649653] cloud-init[1385]:     [  1/8] ok in=885 out=216 ttft=347ms compl=14623ms (elapsed 14.6s)
[ 1902.650674] cloud-init[1385]:     [  2/8] ok in=788 out=139 ttft=349ms compl=9507ms (elapsed 24.1s)
[ 1902.651105] cloud-init[1385]:     [  3/8] ok in=985 out=159 ttft=97ms compl=10631ms (elapsed 34.8s)
[ 1902.651531] cloud-init[1385]:     [  4/8] ok in=908 out=148 ttft=401ms compl=10195ms (elapsed 45.0s)
[ 1902.651938] cloud-init[1385]:     [  5/8] ok in=815 out=176 ttft=357ms compl=12085ms (elapsed 57.0s)
[ 1902.652357] cloud-init[1385]:     [  6/8] ok in=715 out=96 ttft=321ms compl=6717ms (elapsed 63.8s)
[ 1902.653599] cloud-init[1385]:     [  7/8] ok in=558 out=186 ttft=291ms compl=12595ms (elapsed 76.4s)
[ 1902.654038] cloud-init[1385]:     [  8/8] ok in=815 out=148 ttft=364ms compl=10163ms (elapsed 86.5s)
[ 1902.654798] cloud-init[1385]:   conc=1      TTFT p50=    348ms  p99=    398ms  Compl p50=  10413ms  p99=  14481ms  GenTok/s=     15  ok=8
[ 1902.654850] cloud-init[1385]: ====================================================================================================
[ 1902.655645] cloud-init[1385]:   Conc   TTFT_p50   TTFT_p99  Compl_p50  Compl_p99   TPOT_p50   TPOT_p99   GenTok/s    OK
[ 1902.659579] cloud-init[1385]:         (ms)       (ms)        (ms)        (ms)        (ms)        (ms)
[ 1902.659998] cloud-init[1385]: ----------------------------------------------------------------------------------------------------
[ 1902.660615] cloud-init[1385]:      1        348        398      10413      14481       66.6       67.3         15     8
[ 1902.661427] cloud-init[1385]: ====================================================================================================
[ 1902.661834] cloud-init[1385]: + echo ==========================
[ 1902.662269] cloud-init[1385]: ==========================
[ 1902.662698] cloud-init[1385]: ++ date -u
[ 1902.664930] cloud-init[1385]: + echo 'USERDATA DONE Wed Jun  3 00:18:19 UTC 2026'
[ 1902.665792] cloud-init[1385]: USERDATA DONE Wed Jun  3 00:18:19 UTC 2026
[ 1902.666806] cloud-init[1385]: + echo ==========================
[ 1902.667219] cloud-init[1385]: ==========================
[ 1902.667618] cloud-init[1385]: + shutdown -h +2
[ 1902.668217] cloud-init[1385]: Shutdown scheduled for Wed 2026-06-03 00:20:19 UTC, use 'shutdown -c' to cancel.
ci-info: ++++++++++++++++++++++++++++++Authorized keys from /home/ubuntu/.ssh/authorized_keys for user ubuntu+++++++++++++++++++++++++++++++
ci-info: +---------+-------------------------------------------------------------------------------------------------+---------+-----------+
ci-info: | Keytype |                                       Fingerprint (sha256)                                      | Options |  Comment  |
ci-info: +---------+-------------------------------------------------------------------------------------------------+---------+-----------+
ci-info: | ssh-rsa | f3:ad:1d:e7:19:d8:ca:33:c0:5f:f8:b9:d4:45:90:ac:32:59:43:d7:51:e5:c5:c7:26:59:9f:04:15:3c:8b:69 |    -    | cs349-key |
ci-info: +---------+-------------------------------------------------------------------------------------------------+---------+-----------+
<14>Jun  3 00:18:19 cloud-init: #############################################################
<14>Jun  3 00:18:19 cloud-init: -----BEGIN SSH HOST KEY FINGERPRINTS-----
<14>Jun  3 00:18:19 cloud-init: 256 SHA256:iZR9bUzXKD6rTqMZd9bjZDuuSd+/zNJc4ma7o65pWu8 root@ip-172-31-8-26 (ECDSA)
<14>Jun  3 00:18:19 cloud-init: 256 SHA256:HNU/sCrRekPHRsicfvJIu2ecVKNxYb0QT3cfWTMhHHM root@ip-172-31-8-26 (ED25519)
<14>Jun  3 00:18:19 cloud-init: 3072 SHA256:EDuNcQGioegSS1Jtme8UWJrjHvyfZf+/7uCJ5v6LvmU root@ip-172-31-8-26 (RSA)
<14>Jun  3 00:18:19 cloud-init: -----END SSH HOST KEY FINGERPRINTS-----
<14>Jun  3 00:18:19 cloud-init: #############################################################
-----BEGIN SSH HOST KEY KEYS-----
ecdsa-sha2-nistp256 AAAAE2VjZHNhLXNoYTItbmlzdHAyNTYAAAAIbmlzdHAyNTYAAABBBKa3HBDobU1YRdeP2yqE5sMZkR14BsOXBzq0SL+p1JALhm0LyPoQ8ZB0mdDqDQJyyvKWE+isKYtFplXxCjR0jUg= root@ip-172-31-8-26
ssh-ed25519 AAAAC3NzaC1lZDI1NTE5AAAAIDd5O7ed2YLliOpLh0dTYbJe+HROYKUCgj69skL8bzU5 root@ip-172-31-8-26
